#  STM32H743  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                      ,AF2                   ,AF3                                   ,AF4                                      ,AF5                        ,AF6                               ,AF7                                      ,AF8                                          ,AF9                                                   ,AF10                                  ,AF11                                            ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                      ,SYS
PortD,PD6  ,                 ,                         ,SAI1_D1               ,DFSDM1_CKIN4                          ,DFSDM1_DATIN1                            ,SPI3_MOSI/I2S3_SDO         ,SAI1_SD_A                         ,USART2_RX                                ,SAI4_SD_A                                    ,                                                      ,SAI4_D1                               ,SDMMC2_CK                                       ,FMC_NWAIT                        ,DCMI_D10                       ,LCD_B2   ,EVENTOUT,                         ,
PortD,PD7  ,                 ,                         ,                      ,DFSDM1_DATIN4                         ,                                         ,SPI1_MOSI/I2S1_SDO         ,DFSDM1_CKIN1                      ,USART2_CK                                ,                                             ,SPDIFRX1_IN0                                          ,                                      ,SDMMC2_CMD                                      ,FMC_NE1                          ,                               ,         ,EVENTOUT,                         ,
PortD,PD8  ,                 ,                         ,                      ,DFSDM1_CKIN3                          ,                                         ,                           ,SAI3_SCK_B                        ,USART3_TX                                ,                                             ,SPDIFRX1_IN1                                          ,                                      ,                                                ,FMC_D13/FMC_DA13                 ,                               ,         ,EVENTOUT,                         ,
PortD,PD9  ,                 ,                         ,                      ,DFSDM1_DATIN3                         ,                                         ,                           ,SAI3_SD_B                         ,USART3_RX                                ,                                             ,                                                      ,                                      ,                                                ,FMC_D14/FMC_DA14                 ,                               ,         ,EVENTOUT,                         ,
PortD,PD10 ,                 ,                         ,                      ,DFSDM1_CKOUT                          ,                                         ,                           ,SAI3_FS_B                         ,USART3_CK                                ,                                             ,                                                      ,                                      ,                                                ,FMC_D15/FMC_DA15                 ,                               ,LCD_B3   ,EVENTOUT,                         ,
PortD,PD11 ,                 ,                         ,                      ,LPTIM2_IN2                            ,I2C4_SMBA                                ,                           ,                                  ,USART3_CTS/USART3_NSS                    ,                                             ,QUADSPI_BK1_IO0                                       ,SAI2_SD_A                             ,                                                ,FMC_A16                          ,                               ,         ,EVENTOUT,                         ,
PortD,PD12 ,                 ,LPTIM1_IN1               ,TIM4_CH1              ,LPTIM2_IN1                            ,I2C4_SCL                                 ,                           ,                                  ,USART3_RTS/USART3_DE                     ,                                             ,QUADSPI_BK1_IO1                                       ,SAI2_FS_A                             ,                                                ,FMC_A17                          ,                               ,         ,EVENTOUT,                         ,
PortD,PD13 ,                 ,LPTIM1_OUT               ,TIM4_CH2              ,                                      ,I2C4_SDA                                 ,                           ,                                  ,                                         ,                                             ,QUADSPI_BK1_IO3                                       ,SAI2_SCK_A                            ,                                                ,FMC_A18                          ,                               ,         ,EVENTOUT,                         ,
PortD,PD14 ,                 ,                         ,TIM4_CH3              ,                                      ,                                         ,                           ,SAI3_MCLK_B                       ,                                         ,UART8_CTS                                    ,                                                      ,                                      ,                                                ,FMC_D0/FMC_DA0                   ,                               ,         ,EVENTOUT,                         ,
PortD,PD15 ,                 ,                         ,TIM4_CH4              ,                                      ,                                         ,                           ,SAI3_MCLK_A                       ,                                         ,UART8_RTS/UART8_DE                           ,                                                      ,                                      ,                                                ,FMC_D1/FMC_DA1                   ,                               ,         ,EVENTOUT,                         ,
