#  STM32N657  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                    ,AF1                  ,AF2                             ,AF3                                ,AF4                              ,AF5                                    ,AF6                                      ,AF7                                                  ,AF8                                       ,AF9                                ,AF10                                                          ,AF11                                               ,AF12                      ,AF13         ,AF14           ,AF15        ,ADC                    ,SYS
PortD,PD4 ,                       ,TIM1_BKIN2           ,                                ,                                   ,I2C2_SDA                         ,SPI5_MISO                              ,                                         ,USART6_RTS/USART6_DE                                 ,                                          ,DCMIPP_D9/DCMI_D9/PSSI_D9          ,                                                              ,                                                   ,FMC_A11                   ,             ,               ,EVENTOUT    ,                       ,TAMP_IN7/TAMP_OUT8
PortD,PD5 ,                       ,TIM1_CH4N            ,                                ,                                   ,                                 ,                                       ,                                         ,USART2_TX                                            ,                                          ,DCMIPP_PIXCLK/DCMI_PIXCLK/PSSI_PDCK,                                                              ,SDMMC2_D7                                          ,FMC_D6/FMC_DA6            ,             ,               ,EVENTOUT    ,                       ,
PortD,PD6 ,                       ,TIM1_CH1             ,                                ,                                   ,TIM15_CH2                        ,SPI2_MISO/I2S2_SDI                     ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,FMC_A1                    ,             ,FMC_A17/FMC_ALE,HDP_HDP2    ,                       ,
PortD,PD7 ,                       ,TIM1_CH2             ,                                ,                                   ,TIM15_CH1N                       ,SPI2_MOSI/I2S2_SDO                     ,SPI3_NSS/I2S3_WS                         ,                                                     ,                                          ,DCMIPP_D0/DCMI_D0/PSSI_D0          ,                                                              ,                                                   ,FMC_A2                    ,             ,FMC_A18        ,HDP_HDP3    ,                       ,
PortD,PD8 ,                       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,USART3_TX                                            ,SPDIFRX1_IN1                              ,DCMIPP_D11/DCMI_D11/PSSI_D11       ,                                                              ,                                                   ,FMC_NBL0                  ,             ,LCD_R7         ,EVENTOUT    ,                       ,TAMP_IN3/TAMP_OUT4
PortD,PD9 ,                       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,USART3_RX                                            ,                                          ,DCMIPP_D11/DCMI_D11/PSSI_D11       ,                                                              ,                                                   ,FMC_SDCLK                 ,             ,LCD_R1         ,EVENTOUT    ,                       ,TAMP_IN5/TAMP_OUT6
PortD,PD10,DEBUG_TRACECLK         ,TIM1_ETR             ,                                ,                                   ,MDF1_CKI3                        ,I2S1_MCK                               ,UCPD1_FRSTX                              ,                                                     ,SPDIFRX1_IN2                              ,                                   ,SAI2_FS_B                                                     ,                                                   ,FMC_A3                    ,GFXTIM_TE    ,FMC_A19        ,HDP_HDP4    ,                       ,
PortD,PD11,                       ,                     ,                                ,                                   ,I2C4_SDA                         ,SPI2_MISO/I2S2_SDI                     ,UCPD1_FRSTX                              ,                                                     ,                                          ,DCMIPP_D15/PSSI_D15                ,SDMMC1_D0                                                     ,                                                   ,FMC_D8/FMC_DA8            ,             ,               ,EVENTOUT    ,                       ,
PortD,PD12,                       ,                     ,SAI1_D3                         ,                                   ,MDF1_SDI3                        ,                                       ,UCPD1_FRSTX                              ,                                                     ,SPDIFRX1_IN3                              ,DCMIPP_D12/DCMI_D12/PSSI_D12       ,                                                              ,ETH1_MDIO                                          ,FMC_A5                    ,             ,FMC_A21        ,HDP_HDP5    ,                       ,
PortD,PD13,                       ,LPTIM1_CH1           ,TIM4_CH2                        ,                                   ,                                 ,                                       ,UCPD1_FRSTX                              ,UART9_RTS/UART9_DE                                   ,                                          ,DCMIPP_D13/DCMI_D13/PSSI_D13       ,SAI2_SCK_A                                                    ,                                                   ,FMC_D4/FMC_DA4            ,             ,LCD_R6         ,EVENTOUT    ,                       ,
