# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0              ,AF1                ,AF2                       ,AF3                                  ,AF4                                           ,AF5                                             ,AF6                                                  ,AF7                                                 ,AF8                               ,AF9                                  ,AF10                                 ,AF11                                 ,AF12            ,AF13                 ,AF14                   ,AF15    ,ADC
PortE,PE2 ,DEBUG_TRACECLK   ,LPTIM1_IN2         ,SAI1_CK1                  ,                                     ,                                              ,SPI4_SCK                                        ,SAI1_MCLK_A                                          ,USART10_RX                                          ,UART8_TX                          ,OCTOSPI1_IO2                         ,                                     ,ETH_MII_TXD3                         ,FMC_A23         ,DCMI_D3/PSSI_D3      ,                       ,EVENTOUT,
PortE,PE3 ,DEBUG_TRACED0    ,                   ,                          ,                                     ,TIM15_BKIN                                    ,                                                ,SAI1_SD_B                                            ,USART10_TX                                          ,                                  ,                                     ,                                     ,                                     ,FMC_A19         ,                     ,                       ,EVENTOUT,
PortE,PE4 ,DEBUG_TRACED1    ,                   ,SAI1_D2                   ,                                     ,TIM15_CH1N                                    ,SPI4_NSS                                        ,SAI1_FS_A                                            ,                                                    ,                                  ,                                     ,                                     ,                                     ,FMC_A20         ,DCMI_D4/PSSI_D4      ,                       ,EVENTOUT,
PortE,PE5 ,DEBUG_TRACED2    ,                   ,SAI1_CK2                  ,                                     ,TIM15_CH1                                     ,SPI4_MISO                                       ,SAI1_SCK_A                                           ,                                                    ,                                  ,                                     ,                                     ,                                     ,FMC_A21         ,DCMI_D6/PSSI_D6      ,                       ,EVENTOUT,
PortE,PE6 ,DEBUG_TRACED3    ,TIM1_BKIN2         ,SAI1_D1                   ,                                     ,TIM15_CH2                                     ,SPI4_MOSI                                       ,SAI1_SD_A                                            ,                                                    ,                                  ,                                     ,SAI2_MCLK_B                          ,                                     ,FMC_A22         ,DCMI_D7/PSSI_D7      ,                       ,EVENTOUT,
PortE,PE7 ,                 ,TIM1_ETR           ,                          ,                                     ,                                              ,                                                ,UART12_RTS                                           ,UART7_RX                                            ,                                  ,                                     ,OCTOSPI1_IO4                         ,                                     ,FMC_D4/FMC_DA4  ,                     ,                       ,EVENTOUT,
PortE,PE8 ,                 ,TIM1_CH1N          ,                          ,                                     ,                                              ,                                                ,UART12_CTS                                           ,UART7_TX                                            ,                                  ,                                     ,OCTOSPI1_IO5                         ,                                     ,FMC_D5/FMC_DA5  ,                     ,                       ,EVENTOUT,
PortE,PE9 ,                 ,TIM1_CH1           ,                          ,                                     ,                                              ,                                                ,UART12_RX                                            ,UART7_RTS                                           ,                                  ,                                     ,OCTOSPI1_IO6                         ,                                     ,FMC_D6/FMC_DA6  ,                     ,                       ,EVENTOUT,
PortE,PE10,                 ,TIM1_CH2N          ,                          ,                                     ,                                              ,                                                ,UART12_TX                                            ,UART7_CTS                                           ,                                  ,                                     ,OCTOSPI1_IO7                         ,                                     ,FMC_D7/FMC_DA7  ,                     ,                       ,EVENTOUT,
PortE,PE11,                 ,TIM1_CH2           ,                          ,                                     ,SPI1_RDY                                      ,SPI4_NSS                                        ,OCTOSPI1_NCS                                         ,                                                    ,                                  ,                                     ,SAI2_SD_B                            ,                                     ,FMC_D8/FMC_DA8  ,                     ,                       ,EVENTOUT,
PortE,PE12,                 ,TIM1_CH3N          ,                          ,                                     ,                                              ,SPI4_SCK                                        ,                                                     ,                                                    ,                                  ,                                     ,SAI2_SCK_B                           ,                                     ,FMC_D9/FMC_DA9  ,                     ,                       ,EVENTOUT,
PortE,PE13,                 ,TIM1_CH3           ,                          ,                                     ,                                              ,SPI4_MISO                                       ,                                                     ,                                                    ,                                  ,                                     ,SAI2_FS_B                            ,                                     ,FMC_D10/FMC_DA10,                     ,                       ,EVENTOUT,
PortE,PE14,                 ,TIM1_CH4           ,                          ,                                     ,                                              ,SPI4_MOSI                                       ,                                                     ,                                                    ,                                  ,                                     ,SAI2_MCLK_B                          ,                                     ,FMC_D11/FMC_DA11,                     ,                       ,EVENTOUT,
PortE,PE15,                 ,TIM1_BKIN          ,                          ,TIM1_CH4N                            ,                                              ,                                                ,                                                     ,USART10_CK                                          ,                                  ,                                     ,                                     ,                                     ,FMC_D12/FMC_DA12,                     ,                       ,EVENTOUT,
